0,18600,18800,78
1,18800,19000,544
2,19000,19200,1739
3,19200,19400,3557
4,19400,19600,7933
5,19600,19800,13783
6,19800,20000,22659
7,20000,20200,34196
8,20200,20400,49422
9,20400,20600,69087
10,20600,20800,90626
11,20800,21000,117087
12,21000,21200,144676
13,21200,21400,176453
14,21400,21600,207557
15,21600,21800,238735
16,21800,22000,270956
17,22000,22200,301245
18,22200,22400,327473
19,22400,22600,352017
20,22600,22800,373323
21,22800,23000,390257
22,23000,23200,401638
23,23200,23400,409809
24,23400,23600,412947
25,23600,23800,412066
26,23800,24000,405694
27,24000,24200,396291
28,24200,24400,385302
29,24400,24600,369013
30,24600,24800,351552
31,24800,25000,331737
32,25000,25200,312048
33,25200,25400,290726
34,25400,25600,269070
35,25600,25800,246032
36,25800,26000,225053
37,26000,26200,203850
38,26200,26400,183128
39,26400,26600,164135
40,26600,26800,145696
41,26800,27000,128951
42,27000,27200,113443
43,27200,27400,99131
44,27400,27600,85724
45,27600,27800,73820
46,27800,28000,64067
47,28000,28200,54383
48,28200,28400,46489
49,28400,28600,39610
50,28600,28800,32973
51,28800,29000,27776
52,29000,29200,23109
53,29200,29400,19051
54,29400,29600,15902
55,29600,29800,13086
56,29800,30000,10748
57,30000,30200,8664
58,30200,30400,6892
59,30400,30600,5627
60,30600,30800,4565
61,30800,31000,3489
62,31000,31200,2913
63,31200,31400,2247
64,31400,31600,1804
65,31600,31800,1461
66,31800,32000,1142
67,32000,32200,889
68,32200,32400,638
69,32400,32600,528
70,32600,32800,452
71,32800,33000,324
72,33000,33200,216
73,33200,33400,187
74,33400,33600,137
75,33600,33800,104
76,33800,34000,65
77,34000,34200,58
78,34200,34400,40
79,34400,34600,39
80,34600,34800,11
81,34800,35000,21
82,35000,35200,5
83,35200,35400,9
84,35400,35600,8
85,35600,35800,3
86,35800,36000,2
87,36000,36200,2
88,36200,36400,2
89,36400,36600,0
90,36600,36800,2
91,36800,37000,1
avg,24045.107446
std dev,1952.184098
